Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,COSPAR,Tag
1983 Apr 25 1933:43,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Kosmos-1456,1983-038A,
1983 Apr 26 1000,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Kosmos-1457,1983-039A,
1983 Apr 28 0830,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1458,1983-040A,
1983 Apr 28 2226,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Delta 3914,S,GOES 6,1983-041A,
1983 May 6 0300,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1459,1983-042A,
1983 May 6 0910,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Kosmos-1460,1983-043A,
1983 May 7 1030,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2,S,Kosmos-1461,1983-044A,
1983 May 17 0800,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1462,1983-045A,
1983 May 19 1200:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1463,1983-046A,
1983 May 19 2226,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas SLV-3D Centaur,S,INTELSAT 506,1983-047A,
1983 May 24 0259,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1464,1983-048A,
1983 May 26 0500,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K65M,S,Kosmos-1465,1983-049A,
1983 May 26 1200,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Kosmos-1466,1983-050A,
1983 May 26 1518,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Delta 3914,S,Exosat,1983-051A,
1983 May 31 1140,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1467,1983-052A,
