Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,COSPAR,Tag
1984 May 7 2247:15,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Progress-21,1984-042A,
1984 May 11 0619,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1550,1984-043A,
1984 May 11 1300,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1551,1984-044A,
1984 May 14 1400,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Kosmos-1552,1984-045A,
1984 May 17 1443:26,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1553,1984-046A,
1984 May 19 1510:42,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,Kosmos-1554,1984-047A,
1984 May 22 0830,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1557,1984-048A,
1984 May 23 0133:29,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 1,S,Spacenet F1,1984-049A,
1984 May 25 1130,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1558,1984-050A,
1984 May 28 1412:52,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Progress-22,1984-051A,
1984 May 28 2152:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1559,1984-052A,
1984 May 30 1846,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2,S,Kosmos-1567,1984-053A,
1984 Jun 1 1350,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1568,1984-054A,
1984 Jun 6 1533:32,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Kosmos-1569,1984-055A,
1984 Jun 8 1128,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1570,1984-056A,
1984 Jun 9 2303,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas G Centaur,S,INTELSAT 509,1984-057A,
1984 Jun 11 0840,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Kosmos-1571,1984-058A,
